BOX011, O14757-Q55PZ1.msf, SP: 0.491   ref_length: 550   comparison_length: 422   similarity: 0.291
BOX122, Q0P492-Q17GE3.msf, SP: 0.652   ref_length: 565   comparison_length: 508   similarity: 0.289
BOX122, Q0P492-Q9XYN4.msf, SP: 0.58   ref_length: 575   comparison_length: 514   similarity: 0.259
BOX122, Q16GW8-Q16T44.msf, SP: 0.768   ref_length: 536   comparison_length: 512   similarity: 0.34
BOX122, Q16GW8-Q17A89.msf, SP: 0.576   ref_length: 531   comparison_length: 512   similarity: 0.258
BOX122, Q16GW8-Q8WPG4.msf, SP: 0.513   ref_length: 535   comparison_length: 509   similarity: 0.271
BOX122, Q16GW8-Q9VDA5.msf, SP: 0.783   ref_length: 537   comparison_length: 480   similarity: 0.421
BOX122, Q16GW8-Q9VJ47.msf, SP: 0.901   ref_length: 543   comparison_length: 506   similarity: 0.306
BOX122, Q16NL2-Q17GE3.msf, SP: 0.758   ref_length: 545   comparison_length: 517   similarity: 0.34
BOX122, Q16NL2-Q6XA17.msf, SP: 0.586   ref_length: 569   comparison_length: 507   similarity: 0.231
BOX122, Q16T44-Q17HG0.msf, SP: 0.77   ref_length: 533   comparison_length: 513   similarity: 0.292
BOX122, Q16T44-Q6XA17.msf, SP: 0.583   ref_length: 551   comparison_length: 508   similarity: 0.27
BOX122, Q16T44-Q9VGT2.msf, SP: 0.764   ref_length: 533   comparison_length: 478   similarity: 0.349
BOX122, Q16T44-Q9XYN4.msf, SP: 0.756   ref_length: 540   comparison_length: 521   similarity: 0.37
BOX122, Q16YF6-Q7QJN2.msf, SP: 0.72   ref_length: 533   comparison_length: 443   similarity: 0.273
BOX122, Q16YF6-Q9NBD8.msf, SP: 0.663   ref_length: 548   comparison_length: 439   similarity: 0.239
BOX122, Q16YF6-Q9VGT2.msf, SP: 0.598   ref_length: 529   comparison_length: 408   similarity: 0.292
BOX122, Q16YF6-Q9VJ81.msf, SP: 0.718   ref_length: 537   comparison_length: 443   similarity: 0.3
BOX122, Q17A89-Q7QJN2.msf, SP: 0.533   ref_length: 537   comparison_length: 508   similarity: 0.274
BOX122, Q17A89-Q9VGT2.msf, SP: 0.643   ref_length: 544   comparison_length: 462   similarity: 0.288
BOX122, Q17A89-Q9XYN4.msf, SP: 0.582   ref_length: 547   comparison_length: 509   similarity: 0.285
BOX122, Q17GE3-Q17HG0.msf, SP: 0.796   ref_length: 529   comparison_length: 514   similarity: 0.342
BOX122, Q17GE3-Q9VGT2.msf, SP: 0.799   ref_length: 535   comparison_length: 473   similarity: 0.349
BOX122, Q17HG0-Q9VGT4.msf, SP: 0.821   ref_length: 535   comparison_length: 508   similarity: 0.333
BOX122, Q17HG0-Q9VJ47.msf, SP: 0.844   ref_length: 534   comparison_length: 513   similarity: 0.415
BOX122, Q17HG0-Q9XYN4.msf, SP: 0.774   ref_length: 542   comparison_length: 517   similarity: 0.284
BOX122, Q6XA17-Q7QJN2.msf, SP: 0.607   ref_length: 552   comparison_length: 509   similarity: 0.246
BOX122, Q7K7B0-Q9VGT2.msf, SP: 0.745   ref_length: 537   comparison_length: 435   similarity: 0.322
BOX122, Q8WPG4-Q9NBD8.msf, SP: 0.507   ref_length: 546   comparison_length: 511   similarity: 0.245
BOX122, Q8WPG4-Q9VJ81.msf, SP: 0.79   ref_length: 541   comparison_length: 509   similarity: 0.305
BOX122, Q9NBD8-Q9VJ81.msf, SP: 0.596   ref_length: 547   comparison_length: 520   similarity: 0.246
BOX122, Q9VDA5-Q9VJ47.msf, SP: 0.714   ref_length: 542   comparison_length: 476   similarity: 0.288
BOX142, Q6F3Q9-Q6UAP1.msf, SP: 0.649   ref_length: 367   comparison_length: 319   similarity: 0.335
BOX149, P33767-Q6BVZ6.msf, SP: 0.68   ref_length: 464   comparison_length: 410   similarity: 0.359
BOX149, Q23AP5-Q6BVZ6.msf, SP: 0.593   ref_length: 471   comparison_length: 403   similarity: 0.256
BOX149, Q55L11-Q6CA20.msf, SP: 0.681   ref_length: 546   comparison_length: 427   similarity: 0.288
BOX154, P35568-Q6P4Y6.msf, SP: 0.479   ref_length: 1267   comparison_length: 629   similarity: 0.415
BOX154, P35568-Q7ZU74.msf, SP: 0.548   ref_length: 1294   comparison_length: 980   similarity: 0.422
BOX154, Q4S8Y7-Q9DF49.msf, SP: 0.335   ref_length: 1244   comparison_length: 717   similarity: 0.308
BOX154, Q7ZU74-Q9DF49.msf, SP: 0.674   ref_length: 1140   comparison_length: 966   similarity: 0.419
BOX175, P47160-Q55M52.msf, SP: 0.453   ref_length: 510   comparison_length: 391   similarity: 0.317
BOX175, P78813-Q6BWY2.msf, SP: 0.418   ref_length: 521   comparison_length: 404   similarity: 0.371
BOX175, P78813-Q6C975.msf, SP: 0.446   ref_length: 533   comparison_length: 442   similarity: 0.38
BOX175, Q6BWY2-Q6C975.msf, SP: 0.424   ref_length: 531   comparison_length: 417   similarity: 0.362
BOX177, P90913-Q5M909.msf, SP: 0.819   ref_length: 501   comparison_length: 463   similarity: 0.326
BOX192, P54366-Q02591.msf, SP: 0.297   ref_length: 419   comparison_length: 256   similarity: 0.27
BOX192, P54366-Q9GNV0.msf, SP: 0.453   ref_length: 464   comparison_length: 234   similarity: 0.372
BOX192, Q02591-Q4H3E8.msf, SP: 0.344   ref_length: 292   comparison_length: 221   similarity: 0.308
BOX192, Q4H3E8-Q9GNV0.msf, SP: 0.475   ref_length: 332   comparison_length: 204   similarity: 0.402
BOX192, Q4H3E8-Q9GSC9.msf, SP: 0.323   ref_length: 385   comparison_length: 192   similarity: 0.359
BOX202, A0EYL8-Q09546.msf, SP: 0.559   ref_length: 384   comparison_length: 288   similarity: 0.365
BOX202, A0EYL8-Q21263.msf, SP: 0.432   ref_length: 456   comparison_length: 259   similarity: 0.297
BOX202, P09083-Q02548.msf, SP: 0.445   ref_length: 494   comparison_length: 346   similarity: 0.344
BOX202, P15863-Q02548.msf, SP: 0.403   ref_length: 491   comparison_length: 340   similarity: 0.353
BOX214, Q07108-Q3U271.msf, SP: 0.617   ref_length: 220   comparison_length: 128   similarity: 0.273
BOX214, Q07108-Q6S008.msf, SP: 0.631   ref_length: 210   comparison_length: 130   similarity: 0.262
BOX214, Q09Y73-Q1XD31.msf, SP: 0.722   ref_length: 209   comparison_length: 198   similarity: 0.374
BOX214, Q09Y73-Q92478.msf, SP: 0.691   ref_length: 200   comparison_length: 149   similarity: 0.342
BOX214, Q0ZCA7-Q1XD31.msf, SP: 0.92   ref_length: 212   comparison_length: 125   similarity: 0.312
BOX214, Q0ZCA7-Q6S008.msf, SP: 0.752   ref_length: 142   comparison_length: 129   similarity: 0.318
BOX214, Q6S008-Q92478.msf, SP: 0.914   ref_length: 174   comparison_length: 116   similarity: 0.353
BOX214, Q6UVW9-Q6ZYP3.msf, SP: 0.428   ref_length: 189   comparison_length: 159   similarity: 0.283
BOX240, Q0IFQ3-Q1RLD1.msf, SP: 0.624   ref_length: 711   comparison_length: 489   similarity: 0.444
BOX240, Q2GXG9-Q5KII2.msf, SP: 0.653   ref_length: 682   comparison_length: 467   similarity: 0.452
BOX240, Q2GXG9-Q628E1.msf, SP: 0.497   ref_length: 730   comparison_length: 537   similarity: 0.307
BOX246, Q2U7K9-Q8WQL7.msf, SP: 0.555   ref_length: 888   comparison_length: 517   similarity: 0.296
BOX246, Q54ZP4-Q8WQL7.msf, SP: 0.469   ref_length: 897   comparison_length: 821   similarity: 0.313
BOX246, Q54ZP4-Q9P6P3.msf, SP: 0.532   ref_length: 855   comparison_length: 515   similarity: 0.305
BOX246, Q61214-Q8WQL7.msf, SP: 0.536   ref_length: 942   comparison_length: 703   similarity: 0.413
BOX246, Q8WQL7-Q9P6P3.msf, SP: 0.488   ref_length: 902   comparison_length: 514   similarity: 0.296
BOX258, A0C947-Q4ILK0.msf, SP: 0.603   ref_length: 633   comparison_length: 506   similarity: 0.383
BOX258, A0C947-Q8UWJ8.msf, SP: 0.704   ref_length: 569   comparison_length: 425   similarity: 0.466
BOX258, A0CP33-Q4ILK0.msf, SP: 0.75   ref_length: 614   comparison_length: 412   similarity: 0.466
BOX258, A0DGA9-Q249U4.msf, SP: 0.706   ref_length: 842   comparison_length: 428   similarity: 0.369
BOX258, A0DGA9-Q24J99.msf, SP: 0.665   ref_length: 591   comparison_length: 424   similarity: 0.323
BOX258, A0DGA9-Q4Y754.msf, SP: 0.734   ref_length: 521   comparison_length: 425   similarity: 0.351
BOX258, A0EI77-Q22XT4.msf, SP: 0.673   ref_length: 664   comparison_length: 513   similarity: 0.462
BOX258, Q22CY9-Q22XT4.msf, SP: 0.535   ref_length: 852   comparison_length: 643   similarity: 0.392
BOX258, Q22CY9-Q24J99.msf, SP: 0.66   ref_length: 887   comparison_length: 529   similarity: 0.391
BOX258, Q22CY9-Q4Y754.msf, SP: 0.588   ref_length: 840   comparison_length: 507   similarity: 0.312
BOX258, Q22EN1-Q22XT4.msf, SP: 0.422   ref_length: 699   comparison_length: 612   similarity: 0.309
BOX258, Q22EN1-Q4ILK0.msf, SP: 0.567   ref_length: 719   comparison_length: 533   similarity: 0.311
BOX258, Q22EN1-Q6FXY3.msf, SP: 0.552   ref_length: 792   comparison_length: 502   similarity: 0.267
BOX258, Q22JS5-Q249U4.msf, SP: 0.558   ref_length: 879   comparison_length: 529   similarity: 0.342
BOX258, Q22JS5-Q24J99.msf, SP: 0.537   ref_length: 619   comparison_length: 534   similarity: 0.309
BOX258, Q22XT4-Q249U4.msf, SP: 0.58   ref_length: 864   comparison_length: 626   similarity: 0.403
BOX258, Q60IR7-Q8UWJ8.msf, SP: 0.367   ref_length: 720   comparison_length: 441   similarity: 0.297
BOX259, P31617-Q8UYK9.msf, SP: 0.861   ref_length: 308   comparison_length: 251   similarity: 0.382
BOX281, O12946-P10360.msf, SP: 0.634   ref_length: 386   comparison_length: 347   similarity: 0.429
BOX281, O12946-Q9NGC7.msf, SP: 0.636   ref_length: 630   comparison_length: 357   similarity: 0.367
BOX281, P10360-Q4H2Z8.msf, SP: 0.573   ref_length: 437   comparison_length: 349   similarity: 0.301
BOX281, Q4H301-Q9H3D4.msf, SP: 0.481   ref_length: 745   comparison_length: 424   similarity: 0.316
BOX290, A0DG77-Q22DI2.msf, SP: 0.711   ref_length: 379   comparison_length: 346   similarity: 0.402
BOX290, P78582-Q22DI2.msf, SP: 0.583   ref_length: 391   comparison_length: 302   similarity: 0.288
